bed_id,bed_number,bed_status,ward_id
1,01-Jan,Occupied,1
2,01-Feb,Occupied,1
3,01-Mar,Available,1
4,01-Apr,Occupied,1
5,01-May,Occupied,1
6,01-Jun,Occupied,1
7,01-Jul,Available,1
8,01-Aug,Available,1
9,01-Sep,Available,1
10,01-Oct,Occupied,1
11,02-Jan,Available,2
12,02-Feb,Available,2
13,02-Mar,Available,2
14,02-Apr,Occupied,2
15,02-May,Occupied,2
16,02-Jun,Occupied,2
17,02-Jul,Available,2
18,02-Aug,Available,2
19,02-Sep,Occupied,2
20,02-Oct,Occupied,2
21,02-Nov,Occupied,2
22,02-Dec,Occupied,2
23,Feb-13,Occupied,2
24,Feb-14,Occupied,2
25,Feb-15,Available,2
26,03-Jan,Occupied,3
27,03-Feb,Available,3
28,03-Mar,Occupied,3
29,03-Apr,Available,3
30,03-May,Occupied,3
31,03-Jun,Occupied,3
32,03-Jul,Available,3
33,03-Aug,Occupied,3
34,03-Sep,Available,3
35,03-Oct,Occupied,3
36,04-Jan,Available,4
37,04-Feb,Occupied,4
38,04-Mar,Occupied,4
39,04-Apr,Occupied,4
40,04-May,Occupied,4
41,04-Jun,Occupied,4
42,04-Jul,Occupied,4
43,04-Aug,Available,4
44,04-Sep,Occupied,4
45,04-Oct,Available,4
46,04-Nov,Available,4
47,04-Dec,Occupied,4
48,Apr-13,Available,4
49,Apr-14,Occupied,4
50,Apr-15,Occupied,4
51,Apr-16,Available,4
52,Apr-17,Occupied,4
53,Apr-18,Occupied,4
54,Apr-19,Occupied,4
55,Apr-20,Available,4
56,05-Jan,Occupied,5
57,05-Feb,Occupied,5
58,05-Mar,Occupied,5
59,05-Apr,Available,5
60,05-May,Occupied,5
61,05-Jun,Occupied,5
62,05-Jul,Available,5
63,05-Aug,Available,5
64,05-Sep,Occupied,5
65,05-Oct,Occupied,5
66,05-Nov,Occupied,5
67,05-Dec,Occupied,5
68,May-13,Available,5
69,May-14,Occupied,5
70,May-15,Occupied,5
71,May-16,Available,5
72,May-17,Available,5
73,May-18,Occupied,5
74,May-19,Occupied,5
75,May-20,Available,5
76,06-Jan,Available,6
77,06-Feb,Occupied,6
78,06-Mar,Occupied,6
79,06-Apr,Available,6
80,06-May,Occupied,6
81,06-Jun,Available,6
82,06-Jul,Occupied,6
83,06-Aug,Occupied,6
84,06-Sep,Available,6
