insurance_provider_id,provider_name,provider_type,contact_details,coverage_limit
1,Bhatti Group Health Insurance,Private,312415859,1500000
2,"Buch, Sane and Mital Health Insurance",Govt,4725671570,1500000
3,Raval-Panchal Health Insurance,Private,3558053298,300000
4,Dalal Group Health Insurance,Private,2200795707,200000
5,"Sridhar, Upadhyay and Dewan Health Insurance",Private,905244964,300000
6,Nair PLC Health Insurance,Govt,8979259580,750000
7,Setty-Sarna Health Insurance,Govt,7400339803,500000
8,Sant LLC Health Insurance,Private,8205481214,200000
9,"Banerjee, Chad and Nath Health Insurance",Govt,3017058996,750000
10,Dugar Ltd Health Insurance,Private,9.15688E+11,750000
11,"Bhasin, Tripathi and Atwal Health Insurance",Govt,3852061786,500000
12,"Soni, Vohra and Vohra Health Insurance",Govt,3882491912,2000000
13,Chaudhari-Dixit Health Insurance,Govt,9685194407,2000000
14,"Borah, Parmer and Varty Health Insurance",Govt,9684079358,1500000
15,Gala and Sons Health Insurance,Govt,1068376723,1000000
16,Upadhyay-Dalal Health Insurance,Govt,996810588,2000000
17,Basak-Konda Health Insurance,Govt,1867211462,1000000
18,Chandra PLC Health Insurance,Private,3911547694,200000
19,Bahl Inc Health Insurance,Govt,9.16387E+11,500000
20,"Sheth, Gera and Nagi Health Insurance",Private,6890270608,1500000
21,Pillai Ltd Health Insurance,Govt,3549787488,300000
22,Pandya-Vig Health Insurance,Govt,8246700674,500000
23,Batra-Mane Health Insurance,Govt,4455217126,200000
24,Patil Inc Health Insurance,Private,9.12946E+11,1500000
25,"Chauhan, Kakar and Saxena Health Insurance",Private,9203705346,300000
26,Dhawan Ltd Health Insurance,Govt,515546544,1000000
27,Andra LLC Health Insurance,Govt,4315671051,500000
28,Barman-Vasa Health Insurance,Govt,5414480839,1500000
29,"Singh, Khurana and Suri Health Insurance",Private,7554967153,200000
30,"Jain, Peri and Dave Health Insurance",Private,1852214357,1000000
31,Dutta and Sons Health Insurance,Govt,6224835255,500000
32,Gade LLC Health Insurance,Private,9.19408E+11,300000
33,"Shah, Ghose and Sankar Health Insurance",Govt,9.16327E+11,750000
34,"Loyal, Parikh and Bajwa Health Insurance",Private,2428024855,500000
35,Lad-Sekhon Health Insurance,Private,6092106989,2000000
36,"Choudhry, Sood and Mall Health Insurance",Govt,9.11349E+11,300000
37,Badami Inc Health Insurance,Private,8154891562,750000
38,"Suresh, Bath and Choudhry Health Insurance",Govt,7221468283,300000
39,Gupta-Arya Health Insurance,Govt,9.18934E+11,2000000
40,Chahal Ltd Health Insurance,Govt,9.16117E+11,1500000
41,Jha Ltd Health Insurance,Private,4535232543,300000
42,Shetty LLC Health Insurance,Govt,6746087793,300000
43,"Ahluwalia, Shan and Dass Health Insurance",Private,6922185989,1000000
44,Aggarwal-Bose Health Insurance,Private,9.10137E+11,200000
45,"Shah, Chokshi and Dhaliwal Health Insurance",Govt,9.14068E+11,500000
46,Lall Inc Health Insurance,Govt,1762425746,750000
47,Sheth LLC Health Insurance,Govt,1344211666,1000000
48,Naidu-Devi Health Insurance,Govt,9.12386E+11,500000
49,Grewal-Rau Health Insurance,Private,7830774518,1500000
50,Patla-Iyer Health Insurance,Govt,2579164322,500000
