admission_year_month,Admissions
2020-01,629
2020-02,611
2020-03,633
2020-04,596
2020-05,638
2020-06,613
2020-07,592
2020-08,615
2020-09,640
2020-10,631
2020-11,621
2020-12,650
2021-01,585
2021-02,605
2021-03,656
2021-04,668
2021-05,664
2021-06,568
2021-07,706
2021-08,608
2021-09,619
2021-10,621
2021-11,603
2021-12,636
2022-01,634
2022-02,574
2022-03,635
2022-04,603
2022-05,651
2022-06,621
2022-07,653
2022-08,618
2022-09,657
2022-10,671
2022-11,596
2022-12,604
2023-01,633
2023-02,542
2023-03,674
2023-04,591
2023-05,624
2023-06,665
2023-07,567
2023-08,631
2023-09,596
2023-10,601
2023-11,606
2023-12,621
2024-01,652
2024-02,594
2024-03,607
2024-04,649
2024-05,604
2024-06,601
2024-07,646
2024-08,648
2024-09,629
2024-10,660
2024-11,615
2024-12,624
2025-01,648
2025-02,573
2025-03,669
2025-04,620
2025-05,665
2025-06,604
2025-07,674
2025-08,631
2025-09,632
2025-10,635
2025-11,605
2025-12,639
