city,Patients
Aaronberg,2
Aaronborough,1
Aaronburgh,2
Aaronbury,3
Aaronchester,1
Aaronfurt,3
Aaronhaven,2
Aaronland,7
Aaronmouth,5
Aaronport,3
Aaronside,2
Aaronton,3
Aarontown,1
Aaronview,4
Aaronville,5
Abbottburgh,4
Abigailberg,1
Abigailburgh,5
Abigailbury,2
Abigailfurt,2
Abigailport,2
Abigailshire,1
Abigailside,2
Abigailstad,1
Abigailton,1
Acevedoborough,3
Acevedotown,2
Acostaberg,3
Acostaborough,4
Acostachester,3
Acostamouth,2
Acostaside,1
Acostaville,2
Adambury,1
Adamchester,5
Adamfort,2
Adamland,2
Adammouth,7
Adamport,1
Adamsberg,7
Adamsbury,2
Adamschester,3
Adamsfort,2
Adamsfurt,3
Adamshaven,2
Adamshire,2
Adamside,7
Adamsland,3
Adamsmouth,4
Adamsside,2
Adamsstad,2
Adamstad,5
Adamston,5
Adamstown,6
Adamsville,6
Adamton,7
Adamview,8
Adamville,2
Adkinsberg,1
Adkinsbury,2
Adkinsstad,3
Adkinsville,1
Adrianastad,2
Adrianborough,2
Adrianfurt,3
Adrianland,3
Adriantown,2
Adriennefort,3
Adriennemouth,1
Aguilarmouth,2
Aguilarview,1
Aguirrebury,1
Aguirrefurt,2
Aguirretown,1
Aimeechester,3
Aimeeport,1
Aimeeshire,2
Alanfort,2
Alanfurt,2
Alanmouth,5
Alanport,3
Alanside,1
Alanstad,5
Alantown,3
Alanville,3
Albertland,2
Albertmouth,1
Albertview,1
Albertville,2
Alechaven,3
Alejandrahaven,4
Alejandramouth,2
Alejandraview,2
Alejandroborough,1
Alejandroland,1
Alejandroport,2
Alejandroville,1
Alexahaven,2
Alexamouth,1
Alexanderborough,1
Alexanderburgh,1
Alexanderbury,4
Alexanderchester,5
Alexanderhaven,4
Alexanderland,7
Alexandermouth,5
Alexanderport,2
Alexandershire,1
Alexanderside,3
Alexanderstad,5
Alexandertown,7
Alexanderview,5
Alexanderville,1
Alexandraburgh,7
Alexandrachester,3
Alexandrahaven,5
Alexandraland,2
Alexandramouth,2
Alexandraview,1
Alexandraville,4
Alexandrialand,2
Alexborough,4
Alexfort,1
Alexisborough,2
Alexisbury,2
Alexischester,1
Alexisfurt,3
Alexisland,4
Alexismouth,2
Alexisshire,1
Alexisside,1
Alexistown,3
Alexisview,3
Alexisville,5
Alexport,2
Alexstad,4
Alexville,2
Alfredtown,1
Aliceland,1
Aliceville,1
Aliciaborough,2
Aliciabury,2
Aliciahaven,2
Aliciamouth,1
Aliciashire,3
Aliciaside,1
Aliciatown,1
Aliciaview,1
Aliciaville,1
Alifort,1
Alishamouth,3
Alishaport,2
Alishaton,1
Alisonmouth,2
Alisonport,2
Alisonside,1
Allenberg,3
Allenburgh,6
Allenbury,5
Allenchester,2
Allenfort,10
Allenfurt,4
Allenhaven,2
Allenland,1
Allenmouth,8
Allenport,3
Allenshire,1
Allenside,4
Allenstad,2
Allentown,6
Allenview,3
Allisonberg,3
Allisonchester,1
Allisonfurt,7
Allisonland,1
Allisonport,2
Allisonshire,4
Allisonton,1
Allisonville,4
Alvaradobury,2
Alvaradochester,5
Alvaradoport,4
Alvaradoside,5
Alvaradoview,3
Alvarezbury,2
Alvarezchester,7
Alvarezfort,3
Alvarezmouth,5
Alvinside,2
Alyssaborough,4
Alyssaburgh,2
Alyssabury,2
Alyssachester,1
Alyssaside,2
Alyssatown,1
Amandaberg,4
Amandaborough,10
Amandaburgh,4
Amandabury,1
Amandafort,5
Amandafurt,7
Amandahaven,6
Amandaland,4
Amandamouth,12
Amandaport,4
Amandashire,2
Amandaside,2
Amandastad,1
Amandaton,1
Amandatown,2
Amandaview,1
Amandaville,2
Amberburgh,6
Amberchester,7
Amberfort,3
Amberfurt,1
Amberhaven,9
Amberland,3
Ambermouth,5
Amberport,4
Ambertown,2
Amberview,4
Amberville,2
Amyberg,3
Amyburgh,3
Amybury,6
Amychester,7
Amyfort,1
Amyfurt,2
Amyhaven,8
Amyland,3
Amymouth,11
Amyshire,5
Amyside,1
Amystad,3
Amytown,3
Amyview,6
Amyville,7
Anaburgh,1
Anaside,1
Andersenfort,3
Andersonberg,7
Andersonborough,9
Andersonburgh,8
Andersonbury,2
Andersonchester,5
Andersonfort,4
Andersonfurt,2
Andersonhaven,1
Andersonmouth,4
Andersonport,3
Andersonshire,3
Andersonside,6
Andersonstad,1
Andersonton,3
Andersontown,1
Andersonview,8
Andersonville,1
Andradeborough,2
Andradeburgh,2
Andrademouth,1
Andradestad,3
Andreaberg,1
Andreaborough,6
Andreachester,3
Andreafurt,3
Andreahaven,3
Andrealand,8
Andreamouth,5
Andreaport,1
Andreashire,6
Andreaside,5
Andreatown,2
Andreaville,10
Andreborough,1
Andrebury,4
Andremouth,1
Andreport,2
Andresfort,1
Andreshire,2
Andrewberg,4
Andrewborough,4
Andrewburgh,7
Andrewbury,12
Andrewchester,10
Andrewfort,8
Andrewfurt,4
Andrewhaven,12
Andrewland,4
Andrewmouth,3
Andrewport,1
Andrewsbury,4
Andrewshaven,7
Andrewside,3
Andrewsmouth,1
Andrewsshire,3
Andrewstad,4
Andrewsview,2
Andrewtown,6
Andrewville,3
Angelaburgh,1
Angelabury,13
Angelachester,4
Angelafort,2
Angelafurt,1
Angelahaven,4
Angelamouth,5
Angelaport,2
Angelashire,2
Angelaside,8
Angelaton,5
Angelaview,1
Angelaville,6
Angelberg,3
Angelicaburgh,2
Angelicatown,1
Angelicaville,1
Angelmouth,3
Angelshire,2
Angelville,2
Angiemouth,1
Angietown,2
Anitaburgh,7
Anitachester,4
Anitahaven,1
Anitamouth,2
Anitashire,3
Annaborough,1
Annaburgh,3
Annabury,4
Annafurt,3
Annamouth,6
Annashire,5
Annaside,1
Annatown,3
Annaview,2
Anneberg,4
Annechester,2
Annehaven,2
Anneland,1
Annemouth,2
Anneport,3
Anneside,2
Annestad,4
Annettebury,1
Annettemouth,3
Annetteside,2
Annettestad,1
Annettetown,4
Anneview,3
Anneville,1
Annfort,4
Annland,1
Annside,2
Annstad,2
Annville,5
Anthonyberg,6
Anthonyborough,8
Anthonyburgh,5
Anthonybury,6
Anthonychester,1
Anthonyfort,4
Anthonyfurt,5
Anthonyhaven,12
Anthonyland,8
Anthonymouth,4
Anthonyport,13
Anthonyshire,3
Anthonystad,7
Anthonyton,12
Anthonytown,5
Anthonyview,9
Anthonyville,4
Antoniobury,2
Antonioland,1
Antoniomouth,4
Aprilberg,2
Aprilfort,3
Aprilfurt,2
Aprilhaven,1
Aprilland,2
Aprilmouth,2
Aprilport,4
Aprilside,4
Aprilstad,2
Apriltown,1
Aprilview,2
Aprilville,10
Archerberg,3
Archerland,2
Arellanobury,1
Arellanomouth,1
Arellanoview,1
Arianaside,1
Ariaschester,3
Ariasfurt,1
Ariasside,2
Arielfort,2
Armstrongport,3
Armstrongton,1
Armstrongville,1
Arnoldborough,3
Arnoldburgh,1
Arnoldfort,1
Arnoldshire,1
Arnoldstad,1
Arnoldton,2
Arnoldtown,2
Arnoldview,3
Arnoldville,3
Arroyoland,3
Arthurburgh,2
Arthurbury,1
Arthurfort,6
Arthurland,2
Arthurmouth,1
Arthurstad,2
Ashleehaven,5
Ashleestad,1
Ashleyberg,3
Ashleyborough,2
Ashleyburgh,7
Ashleybury,8
Ashleychester,2
Ashleyfort,7
Ashleyfurt,8
Ashleyhaven,1
Ashleyland,6
Ashleymouth,6
Ashleyport,5
Ashleyshire,8
Ashleyside,1
Ashleystad,1
Ashleyton,7
Ashleytown,2
Ashleyview,3
Ashleyville,1
Atkinsmouth,1
Atkinsonmouth,1
Atkinsonstad,1
Atkinsview,3
Audreyfurt,1
Audreyland,1
Audreyton,5
Austinberg,2
Austinborough,1
Austinburgh,4
Austinbury,3
Austinchester,1
Austinfort,2
Austinfurt,4
Austinhaven,5
Austinport,3
Austinshire,2
Austinside,2
Austinstad,3
Austintown,2
Austinview,4
Austinville,1
Autumnfort,5
Autumnton,2
Averyland,1
Averyton,2
Averytown,1
Avilabury,4
Avilamouth,2
Ayalabury,2
Ayalatown,1
Ayersfurt,3
Ayersmouth,1
Baileyberg,1
Baileyborough,5
Baileyburgh,2
Baileychester,3
Baileyfurt,3
Baileyhaven,2
Baileyland,3
Baileymouth,5
Baileyside,7
Baileystad,3
Baileyton,4
Baileyview,4
Baileyville,2
Bairdtown,4
Bakerberg,2
Bakerburgh,2
Bakerbury,5
Bakerfort,4
Bakerfurt,2
Bakerland,2
Bakermouth,2
Bakershire,10
Bakertown,5
Bakerview,7
Bakerville,1
Baldwinberg,3
Baldwinchester,2
Baldwinview,1
Ballardburgh,1
Ballardbury,3
Ballardville,3
Ballhaven,1
Ballport,2
Banksfort,1
Bankshaven,2
Banksmouth,2
Banksside,2
Barajasfort,1
Barajasshire,1
Barbaraborough,2
Barbaraburgh,2
Barbarafort,2
Barbarafurt,2
Barbaramouth,9
Barbarashire,3
Barbaraside,7
Barbarastad,2
Barbaraton,3
Barbaratown,1
Barbaraview,1
Barberberg,1
Barberburgh,1
Barberhaven,1
Barberport,1
Barbertown,3
Barkerberg,1
Barkerborough,1
Barkerfort,3
Barkerfurt,4
Barkerville,2
Barnesberg,8
Barnesbury,1
Barnesport,2
Barnesshire,1
Barnesside,3
Barnesstad,1
Barnestown,2
Barnettside,3
Barnettville,1
Barrbury,1
Barrerabury,2
Barreramouth,1
Barreraport,1
Barrettfurt,4
Barrettland,5
Barrhaven,1
Barronborough,1
Barronfort,1
Barronmouth,1
Barronstad,3
Barronton,1
Barronville,1
Barrybury,1
Barrychester,2
Barryhaven,6
Barrymouth,2
Barryport,2
Barryside,3
Barrystad,1
Barryville,3
Bartlettview,1
Bartonbury,1
Bartonland,1
Bartonmouth,2
Bartonside,5
Bassview,2
Batesbury,4
Bateschester,3
Batesfort,1
Batesport,6
Batesside,3
Batesview,2
Bauerberg,2
Bauerfort,3
Bauershire,4
Bauerville,4
Bautistaland,1
Bautistamouth,3
Bautistashire,3
Bautistaside,2
Bautistaton,3
Bautistatown,1
Baxterborough,1
Baxterbury,1
Baxtershire,1
Beardborough,1
Beardfurt,5
Beardmouth,1
Beardport,3
Beasleybury,3
Beasleyhaven,1
Beasleymouth,1
Beasleyside,1
Beasleystad,1
Beasleyton,2
Beckborough,1
Beckbury,1
Beckerberg,5
Beckshire,3
Beckstad,1
Becktown,1
Beckyborough,4
Beckyhaven,2
Belindamouth,2
Belindashire,1
Belindastad,1
Bellberg,3
Bellburgh,6
Bellchester,3
Bellfort,1
Bellfurt,3
Bellland,1
Bellmouth,13
Bellview,3
Bellville,1
Beltranside,1
Benderberg,1
Benitezport,1
Benitezstad,4
Benjaminbury,5
Benjaminfort,2
Benjaminland,3
Benjaminport,1
Benjaminshire,2
Benjaminstad,8
Benjaminton,2
Benjaminville,2
Bennettborough,4
Bennettburgh,8
Bennettchester,3
Bennettmouth,4
Bennettport,1
Bennettshire,1
Bennettton,4
Bennettville,1
Bensonmouth,2
Bensonside,1
Bentleyfurt,4
Bergerborough,12
Bergermouth,6
Bergerport,3
Bergerview,2
Bergerville,3
Bergfort,1
Bernardbury,2
Bernardfurt,1
Bernardland,3
Bernardshire,2
Berryborough,4
Berrychester,3
Berryfurt,5
Berryland,1
Berrymouth,2
Berryshire,1
Berrystad,3
Berryville,1
Bestbury,1
Bestland,3
Bethanyborough,3
Bethanyhaven,1
Bethanytown,1
Bethfurt,3
Bethside,2
Bethtown,3
Bettyland,3
Beverlybury,1
Beverlymouth,5
Biancaport,3
Billchester,1
Billyborough,1
Billyfort,4
Billymouth,1
Billystad,1
Billyview,2
Birdberg,5
Birdbury,1
Birdfurt,1
Birdstad,1
Bishopchester,2
Bishopfort,2
Bishopfurt,3
Bishopland,2
Bishopshire,1
Bishopville,1
Blackburgh,6
Blackburnfurt,4
Blackburnmouth,1
Blackburnshire,2
Blackburnside,2
Blackburntown,1
Blackfort,1
Blackland,3
Blackmouth,4
Blackton,5
Blackville,2
Blackwellborough,1
Blackwellmouth,1
Blackwellton,5
Blackwellville,2
Blairfurt,2
Blairland,1
Blairmouth,1
Blakemouth,2
Blakeport,1
Blakeside,2
Blaketown,3
Blakeville,1
Blankenshiptown,1
Bobbyburgh,1
Bobbyhaven,1
Bobbyside,6
Bobbytown,1
Bondchester,2
Bondmouth,3
Bonillaborough,2
Bonnieberg,1
Bonnieborough,7
Bonnieburgh,2
Bonniechester,2
Bookermouth,3
Booneport,3
Booneton,1
Boothview,2
Bowenborough,2
Bowenchester,1
Bowenstad,1
Bowenview,1
Bowersbury,1
Bowersfort,2
Bowersland,1
Bowersmouth,1
Bowersstad,1
Bowmanbury,2
Bowmanfort,2
Bowmanland,3
Bowmantown,3
Bowmanview,2
Boydhaven,1
Boydmouth,1
Boydstad,3
Boydton,1
Boylefort,2
Bradfordton,2
Bradleyberg,2
Bradleybury,7
Bradleychester,2
Bradleyfort,3
Bradleyfurt,3
Bradleyhaven,2
Bradleymouth,6
Bradleyshire,1
Bradleytown,2
Bradleyview,1
Bradleyville,1
Bradshawfurt,2
Bradview,1
Bradyshire,2
Bradyside,5
Bradyview,2
Branchberg,1
Branchland,2
Brandiburgh,2
Brandibury,4
Brandihaven,1
Brandimouth,3
Brandiside,4
Brandiville,1
Brandonberg,4
Brandonborough,1
Brandonburgh,5
Brandonbury,3
Brandonchester,13
Brandonfort,6
Brandonfurt,1
Brandonhaven,1
Brandonland,5
Brandonmouth,1
Brandonport,6
Brandonshire,6
Brandonside,7
Brandonstad,4
Brandonton,2
Brandontown,3
Brandonview,1
Brandtchester,2
Brandyberg,2
Brandyborough,2
Brandymouth,1
Brandytown,3
Breannaberg,2
Brendaborough,6
Brendaburgh,4
Brendabury,2
Brendachester,3
Brendafort,2
Brendafurt,6
Brendahaven,2
Brendamouth,1
Brendanberg,3
Brendanborough,2
Brendanland,2
Brendanton,2
Brendaport,1
Brendashire,2
Brendaview,4
Brennanburgh,6
Brennanfurt,1
Brennanshire,1
Brentberg,4
Brentchester,4
Brentview,2
Brettberg,4
Brettborough,2
Brettburgh,4
Bretthaven,4
Brettmouth,1
Brettport,1
Brettshire,2
Brewerchester,1
Brewerfort,3
Brewermouth,3
Brewershire,1
Brewerville,1
Brianabury,2
Brianachester,1
Brianaport,2
Brianberg,4
Brianborough,4
Brianburgh,3
Brianbury,6
Brianchester,3
Brianfort,4
Brianfurt,6
Brianhaven,3
Brianland,7
Briannaberg,4
Briannabury,1
Briannachester,2
Briannaside,6
Briannatown,8
Brianport,1
Brianshire,11
Brianside,2
Brianstad,7
Briantown,13
Brianview,7
Brianville,5
Bridgesmouth,1
Bridgesside,2
Bridgetbury,1
Bridgetland,2
Bridgetmouth,2
Bridgetville,3
Briggsshire,1
Brightchester,1
