ward_name,Admissions
Emergency Ward 1,1265
Emergency Ward 2,1867
Emergency Ward 3,1206
Emergency Ward 4,2227
Emergency Ward 5,2212
ICU Ward 1,614
ICU Ward 2,1246
ICU Ward 3,939
ICU Ward 4,1241
Internal Medicine Ward 1,1225
Internal Medicine Ward 2,1873
Internal Medicine Ward 3,1220
Internal Medicine Ward 4,1209
Internal Medicine Ward 5,2168
Orthopedics Ward 1,1868
Orthopedics Ward 2,1849
Orthopedics Ward 3,2207
Pediatrics Ward 1,1220
Pediatrics Ward 2,2228
Pediatrics Ward 3,1881
Pediatrics Ward 4,1266
Pediatrics Ward 5,1843
Surgery Ward 1,2140
Surgery Ward 2,2157
Surgery Ward 3,2147
Surgery Ward 4,1895
Surgery Ward 5,1787
