"Facility ID","Facility Name","Short Description","Description","Facility Open Date","Facility Address 1","Facility Address 2","Facility City","Facility State","Facility Zip Code","Facility Phone Number","Facility Fax Number","Facility Website","Facility County Code","Facility County","Regional Office ID","Regional Office","Main Site Name","Main Site Facility ID","Operating Certificate Number","Operator Name","Operator Address 1","Operator Address 2","Operator City","Operator State","Operator Zip Code","Cooperator Name","Cooperator Address","Cooperator Address 2","Cooperator City","Cooperator State","Cooperator Zip Code","Ownership Type","Facility Latitude","Facility Longitude","Facility Location"
"509","Mayfair Care Center","NH","Residential Health Care Facility - SNF","02/01/1979","100 Baldwin Road",,"Hempstead","New York","11550","5165387171","5164813688",,"29","Nassau","7","Metropolitan Area Regional Office - Long Island",,,"2906302N","Mayfair Care Center Inc","100 Baldwin Road",,"Hempstead","New York","11550",,,,,"New York",,"Business Corporation","40.697823","-73.615936","(40.697823, -73.615936)"
"520","Lynbrook Restorative Therapy and Nursing","NH","Residential Health Care Facility - SNF","02/01/1980","243 Atlantic Avenue",,"Lynbrook","New York","11563","5165992744","5165993871",,"29","Nassau","7","Metropolitan Area Regional Office - Long Island",,,"2911303N","East Rockaway Center, LLC","243 Atlantic Avenue",,"Lynbrook","New York","11563-3552",,,,,"New York",,"LLC","40.649876","-73.667297","(40.649876, -73.667297)"
"767","Riverside Center for Rehabilitation and Nursing","NH","Residential Health Care Facility - SNF","01/01/1901","90 No Main Street",,"Castleton-On-Hudson","New York","12033","5187327617",,,"41","Rensselaer","4","Capital District Regional Office",,,"4124301N","RSRNC, LLC","1 Hillcrest Drive","Suite 225","Spring Valley","New York","10977",,,,,"New York",,"LLC","42.539822","-73.751411","(42.539822, -73.751411)"
"1320","University Hospital of Brooklyn","HOSP","Hospital","01/01/1901","445 Lenox Road",,"Brooklyn","New York","11203","7182702401",,,"7095","Kings","5","Metropolitan Area Regional Office - New York City",,,"7001037H","State of New York","178-50 Linden Blvd",,"Jamaica","New York","11434",,,,,"New York",,"State","40.654518","-73.945045","(40.654518, -73.945045)"
"1445","Harlem Hospital Center","HOSP","Hospital","01/01/1901","506 Lenox Avenue",,"New York","New York","10037","2129391000",,,"7093","New York","5","Metropolitan Area Regional Office - New York City",,,"7002009H","New York City Health and Hospitals Corporation","55 Water Street",,"New York","New York","10041",,,,,"New York",,"Municipality","40.81435","-73.940506","(40.81435, -73.940506)"
"1504","Foot Clinics of NY","DTC","Diagnostic and Treatment Center","01/01/1901","55 East 124 Street",,"New York","New York","10035","2124108031",,,"7093","New York","5","Metropolitan Area Regional Office - New York City",,,"7002209R","The Foot Clinics of New York","53 East 124 Street",,"New York","New York","10035",,,,,"New York",,"Not for Profit Corporation",,,
"2761","Adapt Community Network","DTC","Diagnostic and Treatment Center","07/19/1979","175 Lawrence Avenue",,"Brooklyn","New York","11230","7184367600",,,"7095","Kings","5","Metropolitan Area Regional Office - New York City",,,"7002288R","United Cerebral Palsy of New York City Inc","122 East 23 Street",,"New York City","New York","10010",,,,,"New York",,"Not for Profit Corporation","40.630581","-73.973892","(40.630581, -73.973892)"
"3290","McAuliffe Health Center","DTC","Diagnostic and Treatment Center","10/30/1984","115 Creek Circle",,"Dewitt","New York","13057","3154695570",,,"33","Onondaga","3","Central New York Regional Office",,,"3301209R","Loretto Rest Realty Corporation","700 E Brighton Avenue",,"Syracuse","New York","13205",,,,,"New York",,"Not for Profit Corporation","43.086962","-76.072515","(43.086962, -76.072515)"
"3420","Homecare and Hospice","HSPC","Hospice","01/07/1992","1225 West State Street",,"Olean","New York","14760","7163725735",,,"4","Cattaraugus","1","Western Regional Office - Buffalo",,,"0401501F","Community Care Of Western New York, Inc.","711 West State Street",,"Olean","New York","14760",,,,,"New York",,"Not for Profit Corporation","42.077347","-78.444183","(42.077347, -78.444183)"
"3906","Mountain Valley Hospice & Palliative Care","HSPC","Hospice","03/03/1988","108 Steele Avenue",,"Gloversville","New York","12078","5187254545",,,"17","Fulton","4","Capital District Regional Office",,,"1701500F","Hospice of Fulton County, Inc","108 Steele Avenue",,"Gloversville","New York","12078",,,,,"New York",,"Not for Profit Corporation","43.044483","-74.334122","(43.044483, -74.334122)"
"4068","Melville Surgery Center","DTC","Diagnostic and Treatment Center","12/27/2006","1895 Walt Whitman Road",,"Melville","New York","11747","6312939700",,,"51","Suffolk","7","Metropolitan Area Regional Office - Long Island",,,"5153209R","Melville SC, LLC","1895 Walt Whitman Road",,"Melville","New York","11747",,,,,"New York",,"LLC","40.767159","-73.424843","(40.767159, -73.424843)"
"4474","Elderwood at Cheektowaga","NH","Residential Health Care Facility - SNF","06/17/1991","225 Bennett Road",,"Cheektowaga","New York","14227","7166819480",,,"14","Erie","1","Western Regional Office - Buffalo",,,"1455303N","225 Bennett Road Operating Company, LLC","225 Bennett Road","31st Floor","Cheektowaga","New York","14227",,,,,"New York",,"LLC","42.889259","-78.747017","(42.889259, -78.747017)"
"4660","Harden Blvd Health Center","HOSP-EC","Hospital Extension Clinic","12/31/1995","9562 State Route 13",,"Camden","New York","13316","3152452070",,,"32","Oneida","3","Central New York Regional Office","Oneida Health Hospital","397","2601001H","Oneida Health Systems, Inc","323 Genesee Street",,"Oneida","New York","13421",,,,,"New York",,"Not for Profit Corporation","43.324615","-75.740028","(43.324615, -75.740028)"
"4771","Refuah Health Center","DTC","Diagnostic and Treatment Center","06/16/1993","728 North Main Street",,"Spring Valley","New York","10977","8453549300","8453549448",,"43","Rockland","6","Metropolitan Area Regional Office - New Rochelle",,,"4353202R","Refuah Health Center","728 North Main Street",,"Spring Valley","New York","10977",,,,,"New York",,"Not for Profit Corporation","41.13995","-74.035431","(41.13995, -74.035431)"
"5701","Fresenius Kidney Care North Bellmore","DTC-EC","Diagnostic and Treatment Center Extension Clinic","01/02/2007","250 Pettit Avenue",,"North Bellmore","New York","11710",,,,"29","Nassau","7","Metropolitan Area Regional Office - Long Island","FMS-Southern Manhattan Dialysis Center","3414","7002176R","New York Dialysis Services Inc","650 Mcclellan",,"Schenectady","New York","12304",,,,,"New York",,"Business Corporation","40.66861","-73.530869","(40.66861, -73.530869)"
"5947","New York Preventive Health Center","DTC","Diagnostic and Treatment Center","03/27/1996","68-60 Austin Street",,"Forest Hills","New York","11375","7183354747","7189977499",,"7096","Queens","5","Metropolitan Area Regional Office - New York City",,,"7003289R","Ajay 28 LLC","68-60 Austin Street",,"Forest Hills","New York","11375",,,,,"New York",,"LLC","40.722218","-73.850571","(40.722218, -73.850571)"
"6386","New York Artificial Kidney Center, Inc","DTC","Diagnostic and Treatment Center","03/20/2002","2701 Emmons Avenue",,"Brooklyn","New York","11235","7187694100",,,"7095","Kings","5","Metropolitan Area Regional Office - New York City",,,"7001102R","New York Artificial Kidney Center, Inc.","2651 East 14th Street",,"Brooklyn","New York","11235",,,,,"New York",,"Business Corporation","40.584192","-73.94121","(40.584192, -73.94121)"
"6501","Caring Hospice Services of New York, LLC","HSPC","Hospice","07/01/2003","3039 Avenue U",,"Brooklyn","New York","11229","7187434600","7187436400",,"7095","Kings","5","Metropolitan Area Regional Office - New York City",,,"7001503F","Caring Hospice Services of New York, LLC","3039 Avenue U",,"Brooklyn","New York","11229",,,,,"New York",,"LLC","40.601162","-73.937602","(40.601162, -73.937602)"
"6670","Acacia Certified Home Care Company","CHHA","Certified Home Health Agency","08/26/2004","2150 Bleecker Street",,"Utica","New York","13501","3152660614",,,"32","Oneida","3","Central New York Regional Office",,,"3202606","Hiram Certified Home Care Co.","2150 Bleecker Street",,"Utica","New York","13501",,,,,"New York",,"Not for Profit Corporation","43.08913","-75.189423","(43.08913, -75.189423)"
"6825","Cliffside Renal Dialysis","DTC","Diagnostic and Treatment Center","12/22/2005","119-19 Graham Court",,"Flushing","New York","11354","7188880700",,,"7096","Queens","5","Metropolitan Area Regional Office - New York City",,,"7003266R","CRD Associates, LLC","119-19 Graham Court",,"Flushing","New York","11354",,,,,"New York",,"LLC","40.775177","-73.847572","(40.775177, -73.847572)"
"7751","Gladys Brooks Sports Rehab Center","HOSP-EC","Hospital Extension Clinic","04/15/1999","46520 North Road",,"Southold","New York","11971",,,,"51","Suffolk","7","Metropolitan Area Regional Office - Long Island","Stony Brook University Hospital","245","5151001H","State University of New York","178-50 Linden Blvd",,"Jamaica","New York","11434",,,,,"New York",,"State","41.073666","-72.427689","(41.073666, -72.427689)"
"8614","Meadowbrook Endoscopy Center","DTC","Diagnostic and Treatment Center","10/15/2008","865 Merrick Road - Unit 150 North",,"Westbury","New York","11590","5165423636",,,"29","Nassau","7","Metropolitan Area Regional Office - Long Island",,,"2914200R","Gastro Operating Company, LLC","865 Merrick Road - Unit 150 North",,"Westbury","New York","11590",,,,,"New York",,"LLC","40.745575","-73.587082","(40.745575, -73.587082)"
