Department_ID,Department_Name,Based_On,Department_Floor,Department_Extension,Total_Patients,Head_Doctor,Total_Doctors,Total_Nurses,Total_Beds,Department_Status
D001,Obstetrics & Gynecology,"PREGNANCY, CHILDBIRTH AND THE PUERPERIUM",3rd Floor,101,1404,Head of Obstetrics & Gynecology,24,58,75,Active
D002,Pediatrics & Neonatal Care,NEWBORNS AND OTHER NEONATES WITH CONDITIONS ORIGINATING IN THE PERINATAL PERIOD,2nd Floor,102,1349,Head of Pediatrics & Neonatal Care,22,55,70,Active
D003,Cardiology,DISEASES AND DISORDERS OF THE CIRCULATORY SYSTEM,5th Floor,103,793,Chief Cardiologist,18,44,60,Active
D004,Gastroenterology,DISEASES AND DISORDERS OF THE DIGESTIVE SYSTEM,4th Floor,104,633,Chief Gastroenterologist,15,38,48,Active
D005,Neurology,DISEASES AND DISORDERS OF THE NERVOUS SYSTEM,5th Floor,105,613,Chief Neurologist,15,36,45,Active
D006,Pulmonology,DISEASES AND DISORDERS OF THE RESPIRATORY SYSTEM,4th Floor,106,565,Chief Pulmonologist,14,34,42,Active
D007,Orthopedics,DISEASES AND DISORDERS OF THE MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE,2nd Floor,107,419,Chief Orthopedic Surgeon,12,30,35,Active
D008,Nephrology & Urology,DISEASES AND DISORDERS OF THE KIDNEY AND URINARY TRACT,3rd Floor,108,372,Chief Nephrologist & Urologist,11,28,30,Active
D009,Infectious Disease,INFECTIOUS AND PARASITIC DISEASES (SYSTEMIC OR UNSPECIFIED SITES),1st Floor,109,260,Chief Infectious Disease Specialist,9,24,25,Active
D010,Endocrinology,"ENDOCRINE, NUTRITIONAL AND METABOLIC DISEASES AND DISORDERS",3rd Floor,110,225,Chief Endocrinologist,8,20,22,Active
D011,Oncology,"MYELOPROLIFERATIVE DISEASES AND DISORDERS, AND POORLY DIFFERENTIATED NEOPLASM",6th Floor,111,214,Chief Oncologist,8,18,20,Active
D012,Hepatology,DISEASES AND DISORDERS OF THE HEPATOBILIARY SYSTEM AND PANCREAS,6th Floor,112,205,Chief Hepatologist,7,18,18,Active
D013,Dermatology,"DISEASES AND DISORDERS OF THE SKIN, SUBCUTANEOUS TISSUE AND BREAST",2nd Floor,113,153,Chief Dermatologist,7,16,18,Active
D014,ENT,"DISEASES AND DISORDERS OF THE EAR, NOSE, MOUTH AND THROAT",2nd Floor,114,127,Chief ENT Specialist,6,15,15,Active
D015,Psychiatry,MENTAL DISEASES AND DISORDERS,4th Floor,115,110,Chief Psychiatrist,6,15,15,Active
D016,Hematology,DISEASES AND DISORDERS OF THE BLOOD AND BLOOD FORMING ORGANS AND IMMUNOLOGICAL DISORDERS,5th Floor,116,100,Chief Hematologist,6,14,15,Active
D017,General Medicine,FACTORS INFLUENCING HEALTH STATUS AND OTHER CONTACTS WITH HEALTH SERVICES,1st Floor,117,94,Chief General Physician,10,22,30,Active
D018,Emergency Medicine,"INJURIES, POISONINGS AND TOXIC EFFECTS OF DRUGS",Ground Floor,118,82,Chief Emergency Physician,12,25,35,Active
D019,Urology,DISEASES AND DISORDERS OF THE MALE REPRODUCTIVE SYSTEM,3rd Floor,119,69,Chief Urologist,7,15,18,Active
D020,Burn Care,BURNS,Ground Floor,120,64,Chief Burn Surgeon,6,14,18,Active
D021,Gynecology,DISEASES AND DISORDERS OF THE FEMALE REPRODUCTIVE SYSTEM,3rd Floor,121,59,Chief Gynecologist,6,13,15,Active
D022,Addiction Medicine,ALCOHOL/DRUG USE AND ALCOHOL/DRUG INDUCED ORGANIC MENTAL DISORDERS,2nd Floor,122,36,Chief Addiction Specialist,5,12,12,Active
D023,Trauma Care,MULTIPLE SIGNIFICANT TRAUMA,Ground Floor,123,19,Chief Trauma Surgeon,5,11,12,Active
D024,Ophthalmology,DISEASES AND DISORDERS OF THE EYE,2nd Floor,124,17,Chief Ophthalmologist,4,10,10,Active
D025,HIV Care,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,5th Floor,125,10,Chief HIV Specialist,3,8,8,Active
D026,Critical Care,PRE MDC,ICU,126,8,Chief Intensivist,8,30,40,Active
