Hospital_ID,Hospital_Name,Hospital_Type,City,State,Total_Beds,ICU_Beds,Emergency_Beds,Total_Doctors,Total_Nurses,Established_Year
H001,MedCare Hospital 1,Government,Salem,Tamil Nadu,481,61,11,58,128,2001
H002,MedCare Hospital 2,Government,Chennai,Tamil Nadu,209,25,23,147,115,1997
H003,MedCare Hospital 3,Teaching,Chennai,Tamil Nadu,242,72,28,71,194,2010
H004,MedCare Hospital 4,Teaching,Chennai,Tamil Nadu,213,34,11,74,228,2003
H005,MedCare Hospital 5,Multi-Speciality,Trichy,Tamil Nadu,297,39,27,86,132,2008
H006,MedCare Hospital 6,Private,Chennai,Tamil Nadu,342,55,32,56,110,2009
H007,MedCare Hospital 7,Teaching,Trichy,Tamil Nadu,360,47,34,120,318,2008
H008,MedCare Hospital 8,Private,Madurai,Tamil Nadu,614,35,35,86,204,1992
H009,MedCare Hospital 9,Teaching,Madurai,Tamil Nadu,457,66,24,113,117,1993
H010,MedCare Hospital 10,Teaching,Coimbatore,Tamil Nadu,674,68,20,78,330,2003
H011,MedCare Hospital 11,Multi-Speciality,Trichy,Tamil Nadu,190,56,35,120,254,2012
H012,MedCare Hospital 12,Teaching,Trichy,Tamil Nadu,508,71,24,57,127,2020
H013,MedCare Hospital 13,Teaching,Chennai,Tamil Nadu,426,23,33,119,308,1999
H014,MedCare Hospital 14,Private,Chennai,Tamil Nadu,545,80,24,130,166,2009
H015,MedCare Hospital 15,Teaching,Chennai,Tamil Nadu,269,33,34,113,146,2013
H016,MedCare Hospital 16,Teaching,Salem,Tamil Nadu,403,78,37,167,121,1995
H017,MedCare Hospital 17,Teaching,Trichy,Tamil Nadu,609,37,38,75,300,2017
H018,MedCare Hospital 18,Teaching,Madurai,Tamil Nadu,435,63,38,137,198,1994
H019,MedCare Hospital 19,Government,Coimbatore,Tamil Nadu,234,34,31,99,86,2005
H020,MedCare Hospital 20,Private,Madurai,Tamil Nadu,336,20,14,147,269,2009
H021,MedCare Hospital 21,Government,Trichy,Tamil Nadu,476,80,29,53,313,2018
H022,MedCare Hospital 22,Teaching,Salem,Tamil Nadu,551,45,13,163,285,1991
H023,MedCare Hospital 23,Multi-Speciality,Coimbatore,Tamil Nadu,345,48,15,68,254,2009
H024,MedCare Hospital 24,Multi-Speciality,Chennai,Tamil Nadu,203,56,14,177,131,2020
H025,MedCare Hospital 25,Multi-Speciality,Chennai,Tamil Nadu,522,75,16,136,156,2010
