Facility ID,Facility Name,Description,Facility Open Date,Facility Address 1,Facility City,Facility State,Facility Zip Code,Facility County,Operating Certificate Number,Ownership Type,Facility Website,Facility Latitude,Facility Longitude
4682,NewYork-Presbyterian Westchester Rehabilitation & Sports Medicine - Scarsdale,Hospital Extension Clinic,02/18/1993,700 White Plains Rd,Scarsdale,New York,10583,Westchester,7002054,Not for Profit Corporation,,40.971008,-73.805756
7862,"NY-Presbyterian Brooklyn Methodist Hospital, Rehab Center and Women & Children's Clinics",Hospital Extension Clinic,05/12/1998,"263 7th Avenue, 2nd & 3rd Floors",Brooklyn,New York,11215,Kings,7002054,Not for Profit Corporation,,40.668816,-73.981712
9293,NY-Presbyterian Brooklyn Methodist Hospital Cardio-Vascular Services,Hospital Extension Clinic,07/06/2011,8721 5th Avenue,Brooklyn,New York,11209,Kings,7002054,Not for Profit Corporation,,40.620693,-74.026825
9053,NewYork-Presbyterian Westchester Rehabilitation & Sports Medicine - Eastchester,Hospital Extension Clinic,09/30/2008,329 White Plains Road,Eastchester,New York,10709,Westchester,7002054,Not for Profit Corporation,,40.951462,-73.816711
9768,NY-Presbyterian Brooklyn Methodist Hospital Infusion Services,Hospital Extension Clinic,12/31/2014,343 4th Ave,Brooklyn,New York,11215,Kings,7002054,Not for Profit Corporation,,40.672667,-73.986334
6028,Washington Heights ACNC-Audubon,Hospital Extension Clinic,12/31/2002,21 Audubon Avenue,New York,New York,10032,New York,7002054,Not for Profit Corporation,,40.839462,-73.939034
4693,Intermediate School 136,School Based Hospital Extension Clinic,01/01/2003,6 Edgecomb Avenue,New York,New York,10032,New York,7002054,Not for Profit Corporation,,40.817226,-73.947716
4691,Intermediate School 52 Inwood,School Based Hospital Extension Clinic,01/01/2003,650 Academy Street,New York,New York,10034,New York,7002054,Not for Profit Corporation,,40.866032,-73.924896
9838,NewYork-Presbyterian Westchester Cardiac & Pulmonary Rehabilitation,Hospital Extension Clinic,09/21/2015,"688 White Plains Road, 2nd floor, Suite 211",Scarsdale,New York,10583,Westchester,7002054,Not for Profit Corporation,,40.970263,-73.806486
1306,NewYork-Presbyterian Brooklyn Methodist Hospital,Hospital,01/01/1901,506 Sixth Street,Brooklyn,New York,11215,Kings,7002054,Not for Profit Corporation,,40.668087,-73.978905
3975,New York-Presbyterian Hospital - Allen Hospital,Hospital,07/18/1988,5141 Broadway,New York,New York,10034,New York,7002054,Not for Profit Corporation,,40.872475,-73.912773
13964,Center for Community Health,Hospital Extension Clinic,12/22/2020,515 6th Street,Brooklyn,New York,11215,Kings,7002054,Not for Profit Corporation,,40.668218,-73.978535
9272,John F. Kennedy Education Campus,School Based Hospital Extension Clinic,11/29/2011,99 Terrace View Avenue,Bronx,New York,10463,Bronx,7002054,Not for Profit Corporation,,40.876953,-73.912514
15726,Physical Therapy Extension Clinic,Hospital Extension Clinic,12/23/2024,66 Hudson Boulevard,New York,New York,10001,New York,7002054,Not for Profit Corporation,,40.7555,-74.0003
7288,Chelsea Center for Special Studies,Hospital Extension Clinic,01/01/1998,53 West 23rd Street,New York,New York,10011,New York,7002054,Not for Profit Corporation,,40.7425,-73.991699
1122,New York-Presbyterian Westchester,Hospital,01/01/1901,55 Palmer Avenue,Bronxville,New York,10708,Westchester,7002054,Not for Profit Corporation,,40.941673,-73.836334
1464,New York-Presbyterian Hospital - Columbia Presbyterian Center,Hospital,02/01/1980,622 West 168th Street,New York,New York,10032,New York,7002054,Not for Profit Corporation,,40.84131,-73.94065
5560,George Washington High School,School Based Hospital Extension Clinic,01/01/2003,549 Audubon Avenue,New York,New York,10034,New York,7002054,Not for Profit Corporation,,40.855942,-73.926987
4690,Intermediate School 164 Edward W. Stitt,School Based Hospital Extension Clinic,01/01/2003,401 West 164th Street,New York,New York,10032,New York,7002054,Not for Profit Corporation,,40.836563,-73.937088
3676,99 Fort Washington,Hospital Extension Clinic,12/31/2002,99 Fort Washington Avenue,New York,New York,10032,New York,7002054,Not for Profit Corporation,,40.83857,-73.943787
7664,Charles B Rangel Comm Health Center,Hospital Extension Clinic,12/31/2002,534 A West 135th Street,New York,New York,10031,New York,7002054,Not for Profit Corporation,,40.819843,-73.954613
9845,New York Presbyterian / Lower Manhattan Cancer Center,Hospital Extension Clinic,10/15/2015,21 West Broadway,New York,New York,10007,New York,7002054,Not for Profit Corporation,,40.713146,-74.011078
15583,Mobile Medical Unit Mom/Baby Bus,Mobile Hospital Extension Clinic,01/26/2024,525 East 68th Street,New York,New York,10065,New York,7002054,Not for Profit Corporation,,40.76435,-73.95451
1458,New York-Presbyterian Hospital - New York Weill Cornell Center,Hospital,02/01/1978,525 East 68th Street,New York,New York,10021,New York,7002054,Not for Profit Corporation,,40.76408,-73.954926
3995,Broadway Clinic,Hospital Extension Clinic,12/31/2002,4781-4783 Broadway,New York,New York,10034,New York,7002054,Not for Profit Corporation,,40.865959,-73.926247
6986,Avon Foundation Breast Imaging Center,Hospital Extension Clinic,08/01/2004,1130 St Nichols Avenue,New York,New York,10032,New York,7002054,Not for Profit Corporation,,40.839909,-73.939713
10139,New York-Presbyterian David H. Koch Center,Hospital,04/09/2018,1283 York Avenue,New York,New York,10065,New York,7002054,Not for Profit Corporation,,40.764794,-73.955346
1437,New York-Presbyterian/Lower Manhattan Hospital,Hospital,01/01/1901,170 William Street,New York,New York,10038,New York,7002054,Not for Profit Corporation,,40.710426,-74.005486
15584,Mobile Medical Unit Sexual Health Bus,Mobile Hospital Extension Clinic,01/26/2024,525 East 68th Street,New York,New York,10065,New York,7002054,Not for Profit Corporation,,40.76435,-73.95451
1047,New York-Presbyterian Westchester Behavioral Health Center,Hospital,08/01/1979,21 Bloomingdale Road,White Plains,New York,10605,Westchester,7002054,Not for Profit Corporation,,41.029835,-73.758293
15813,1111 Westchester Avenue,Hospital Extension Clinic,08/28/2025,1111 Westchester Avenue,White Plains,New York,10604,Westchester,7002054,Not for Profit Corporation,,41.01569,-73.72814
6029,Farrell Community Health Center,Hospital Extension Clinic,12/31/2002,610 West 158th Street,New York,New York,10032,New York,7002054,Not for Profit Corporation,,40.834972,-73.945274
7683,WCIMA at Payson House,Hospital Extension Clinic,10/15/1998,"1321 York Avenue, 1st Floor",New York,New York,10021,New York,7002054,Not for Profit Corporation,,40.771263,-73.953384
4662,Washington Heights Family Center,Hospital Extension Clinic,12/31/2002,575 West 181st Street,New York,New York,10032,New York,7002054,Not for Profit Corporation,,40.849182,-73.933243
6985,Thurgood Marshall Academy,School Based Hospital Extension Clinic,04/17/2007,200-214 West 135th Street,New York,New York,10030,New York,7002054,Not for Profit Corporation,,40.815411,-73.944115
4692,Intermediate School 143 Eleanor Roosevelt,School Based Hospital Extension Clinic,01/01/2003,515 West 182nd Street,New York,New York,10033,New York,7002054,Not for Profit Corporation,,40.849228,-73.931534
