week,month,service,available_beds,patients_request,patients_admitted,patients_refused,patient_satisfaction,staff_morale,event,patient_count,average_length_of_stay,average_satisfaction,staff_present,total_staff
1,1,emergency,32,76,32,44,67,70,none,4,9.25,86.0,35,29
1,1,surgery,45,130,45,85,83,78,flu,6,10.0,84.66666666666667,23,22
1,1,general_medicine,37,201,37,164,97,43,flu,5,7.4,77.4,27,27
1,1,ICU,22,31,22,9,84,91,flu,7,5.428571428571429,84.85714285714286,31,32
2,1,emergency,28,169,28,141,75,64,none,3,6.0,74.0,37,29
2,1,surgery,40,26,26,0,96,56,none,9,8.333333333333334,81.0,23,22
2,1,general_medicine,43,183,43,140,73,93,flu,2,2.5,69.5,25,27
2,1,ICU,16,7,7,0,79,85,donation,4,8.0,69.25,30,32
3,1,emergency,32,177,32,145,73,58,flu,6,5.333333333333333,78.83333333333333,0,29
3,1,surgery,27,66,27,39,63,72,flu,10,7.7,84.0,0,22
3,1,general_medicine,37,58,37,21,95,63,none,5,5.6,80.4,0,27
3,1,ICU,20,21,20,1,82,89,none,5,7.0,70.4,0,32
4,1,emergency,32,157,32,125,83,75,none,9,6.555555555555555,77.22222222222223,36,29
4,1,surgery,56,57,56,1,74,94,none,8,8.375,84.125,20,22
4,1,general_medicine,43,152,43,109,67,66,flu,1,8.0,70.0,22,27
4,1,ICU,20,21,20,1,64,85,flu,6,5.333333333333333,83.33333333333333,29,32
5,2,emergency,25,388,25,363,93,72,flu,3,6.666666666666667,80.0,35,29
5,2,surgery,26,70,26,44,81,83,donation,6,7.5,88.0,22,22
5,2,general_medicine,40,103,40,63,73,52,none,1,11.0,87.0,23,27
5,2,ICU,22,13,13,0,73,88,none,1,14.0,88.0,28,32
6,2,emergency,34,198,34,164,72,76,flu,5,9.0,75.0,0,29
6,2,surgery,27,58,27,31,96,81,donation,2,13.0,67.5,0,22
6,2,general_medicine,69,90,69,21,72,81,none,5,6.4,90.0,0,27
6,2,ICU,14,12,12,0,87,51,none,4,11.0,81.25,0,32
7,2,emergency,33,127,33,94,65,77,none,9,8.666666666666666,78.66666666666667,35,29
7,2,surgery,37,46,37,9,89,60,none,6,7.333333333333333,82.33333333333333,24,22
7,2,general_medicine,62,80,62,18,84,98,donation,2,4.5,82.5,26,27
7,2,ICU,21,47,21,26,72,83,flu,3,7.333333333333333,68.66666666666667,30,32
8,2,emergency,26,240,26,214,96,75,flu,2,4.5,72.5,36,29
8,2,surgery,51,20,20,0,91,61,strike,9,7.666666666666667,77.55555555555556,20,22
8,2,general_medicine,58,105,58,47,71,88,none,5,6.0,82.6,25,27
